AGRN	MAP4K2
RHOU	ZBED3
RHOU	PPP1R35
RHOU	AC005480.1
AL136988.2	C6orf201
AL136988.2	NUTM2G
PGBD5	NHLH2
DISC1	KIAA1614
IRF2BP2	PCBP1
IRF2BP2	BMI1
IRF2BP2	SALL1
IRF2BP2	EXOSC6
IRF2BP2	TOB1
IRF2BP2	DYNLL2
IRF2BP2	UBALD2
ACTN2	EPHB2
ACTN2	KANK4
ACTN2	ITGAV
ACTN2	C3orf70
ACTN2	PLEKHG1
ACTN2	ARHGAP22
ACTN2	STAT2
ACTN2	JPT2
ACTN2	TLE2
MTR	TTC21A
MTR	SCFD2
MTR	DOPEY1
MTR	FGFR1OP
MTR	GALNT11
MTR	DUSP26
MTR	HAUS2
MTR	BBS4
MTR	RPRD1B
MTR	AC007193.2
MTR	RUVBL2
RYR2	AP1S3
RYR2	AC069544.1
AL359764.1	RGS7
WDR64	IL5
PLD5	AL034405.1
PLD5	ZNF33B
AL606534.1	AC006130.1
AL645465.1	PXDNL
AL645465.1	C21orf91-OT1
ADSS	CLIP4
ADSS	PELI1
ADSS	AP1AR
ADSS	USP38
ADSS	ZNF354B
ADSS	PHF3
ADSS	PDE1C
ADSS	RBM28
ADSS	PRPS2
ADSS	RNF169
ADSS	MSANTD4
ADSS	NSMCE4A
ADSS	AL360181.3
ADSS	C12orf66
ADSS	DHRS1
ADSS	AC022167.2
ADSS	ZNF480
ADSS	PAXBP1
CATSPERE	MCC
HNRNPU	ZBTB48
HNRNPU	ABHD1
HNRNPU	ELOVL5
HNRNPU	MMP25-AS1
HNRNPU	AC133550.2
HNRNPU	AC015813.2
AL356512.1	AC005586.1
SMYD3	CNTLN
ZNF496	AZIN1-AS1
NLRP3	UPK3B
TRIM58	AL162411.1
OR2L5	OR2L2
OR2L5	OR2L3
OR2L5	OR2M4
OR2L3	OR2L13
OR2L13	OR2L8
OR2L13	OR2M3
OR2M3	OR2T6
LYPD8	PTGER3
SNTG2	LINC02043
SNTG2	RRP36
SNTG2	SNTB1
SNTG2	AL353693.1
SNTG2	CREBZF
PXDN	NXPH2
PXDN	PLSCR1
MYT1L	CERS6
MYT1L	MAP3K5
MYT1L	GLB1L3
ADI1	KIAA0513
RPS7	RPL11
RPS7	RPL5
RPS7	SELENOK
AC068481.1	AC136624.2
MBOAT2	SORT1
MBOAT2	GPR137B
MBOAT2	CLASP1
MBOAT2	IWS1
MBOAT2	CLCN2
MBOAT2	PTPN13
MBOAT2	AC019131.1
MBOAT2	C1QTNF3-AMACR
MBOAT2	AC022414.1
MBOAT2	AC008575.1
MBOAT2	WDR46
MBOAT2	AFDN
MBOAT2	CPVL
MBOAT2	MTURN
MBOAT2	TBL2
MBOAT2	RBM33
MBOAT2	KDM6A
MBOAT2	MAK16
MBOAT2	WDR34
MBOAT2	MRVI1-AS1
MBOAT2	KIF18A
MBOAT2	PC
MBOAT2	ARHGAP19-SLIT1
MBOAT2	PPP2R2D
MBOAT2	MANSC1
MBOAT2	LMBR1L
MBOAT2	PYM1
MBOAT2	MYL6B
MBOAT2	ULK1
MBOAT2	ATP11A
MBOAT2	CHURC1-FNTB
MBOAT2	AL357153.2
MBOAT2	COQ6
MBOAT2	MEIS2
MBOAT2	ANP32A
MBOAT2	SLC28A1
MBOAT2	MRC2
MBOAT2	MYOM1
MBOAT2	MMP24OS
MBOAT2	AC024592.3
MBOAT2	AP000547.3
MBOAT2	IL17RA
AC082651.1	AC100847.1
AC082651.4	AC112206.2
AC082651.4	AC026254.2
PDIA6	CRELD1
PDIA6	AP001628.1
AC062028.1	AC109779.1
AC099344.1	AP001092.1
AC099344.1	AP5B1
LINC00276	FHAD1
LINC00276	SLC25A20
LINC00276	BNC2
LINC00276	ANKFN1
AC068286.1	AL021408.1
LINC01804	LINC00927
AC010145.1	AL662907.3
GACAT3	AC010145.1
VSNL1	RGS4
VSNL1	NGEF
VSNL1	BHLHE40
VSNL1	CCK
VSNL1	TAGLN3
VSNL1	NSG1
VSNL1	BASP1
VSNL1	GABRA1
VSNL1	GABRG2
VSNL1	TUBB2A
VSNL1	NAP1L2
VSNL1	STMN2
VSNL1	MAL2
VSNL1	PGM2L1
VSNL1	SNAP25
VSNL1	SULT4A1
AC079148.1	AC090198.1
LINC01376	AL034417.4
LINC01376	IPP
LINC01376	WARS2
LINC01376	BNIPL
LINC01376	SLC22A14
LINC01376	UFL1-AS1
LINC01376	AL365259.1
LINC01376	GSAP
LINC01376	CFAP69
LINC01376	AL358937.1
LINC01376	BTBD16
LINC01376	AL160290.2
LINC01376	LINC01068
LINC01376	AC090527.2
LINC01376	FAM227B
LINC01376	CRTC3-AS1
LINC01376	AC015849.1
RHOB	HAPLN2
RHOB	AC005034.4
RHOB	RAB11B
SF3B6	MRPL44
SF3B6	CWC15
AC009228.1	FAM228A
DNAJC27-AS1	NCAPD3
DNAJC27-AS1	HDHD5-AS1
EFR3B	NEDD4
EFR3B	XYLT1
DNMT3A	MAD1L1
DNMT3A	ZNF710
DNMT3A	VAC14
DNMT3A	VPS9D1
DNMT3A	DPP9
ADGRF3	AC004241.1
ADGRF3	AC090527.3
KCNK3	FKBP9
AGBL5	POLR1C
OST4	AL139089.1
EMILIN1	FAM209A
SLC30A3	PNCK
SLC30A3	EFNB3
DNAJC5G	HCLS1
DNAJC5G	RNF182
DNAJC5G	ZNF215
UCN	CDK3
SNX17	TMEM115
SNX17	ACTB
SNX17	HRAS
SNX17	MMD
SNX17	MANBAL
SNX17	ARFRP1
SNX17	KDELR1
PPM1G	EIF2B2
PPM1G	TPTE
CCDC121	TRANK1
MRPL33	AL365232.1
BABAM2	ZNF362
BABAM2	AL645568.1
BABAM2	HHAT
BABAM2	INTU
BABAM2	ARSI
BABAM2	AIG1
BABAM2	Z94721.1
BABAM2	ARL4A
BABAM2	RAB9A
BABAM2	AMER1
BABAM2	AC233296.1
BABAM2	DANT2
BABAM2	FAM66A
BABAM2	TRIM66
BABAM2	CEP164
BABAM2	ENTPD1-AS1
BABAM2	UNC79
BABAM2	PARP6
BABAM2	MEX3B
BABAM2	HOMER2
BABAM2	CRNDE
BABAM2	PRMT7
BABAM2	CENPN
BABAM2	DBF4B
BABAM2	MYO15B
BABAM2	ENOSF1
BABAM2	TP53TG5
CLIP4	AL589666.1
AC016907.2	ALK
LCLAT1	CYP2R1
LCLAT1	DNAJC15
AL121658.1	ZNF252P-AS1
TTC27	FAM136A
TTC27	PCDHB13
LINC00486	CFAP57
LINC00486	AXDND1
LINC00486	CR1L
LINC00486	AC099066.2
LINC00486	LINC00504
LINC00486	BANK1
LINC00486	HAND2-AS1
LINC00486	AL035401.1
LINC00486	AL590764.1
LINC00486	XACT
LINC00486	AC009630.1
LINC00486	CCDC26
LINC00486	BX088651.4
LINC00486	CDCA5
LINC00486	AL355303.1
LINC00486	EMG1-1
LINC00486	SLC2A14
LINC00486	MIR4713HG
LINC00486	AC091078.1
LINC00486	ITGAL
LINC00486	FANCA
LINC00486	LLGL1
LINC00486	AC046185.1
LINC00486	SLC24A3
AL121656.1	LTBP1
CRIM1	SDSL
CRIM1	ADCY9
CRIM1	ATP2C2
VIT	CDKL4
VIT	FAM20A
CYP1B1	ARHGAP9
SRSF7	MED11
SRSF7	MLX
SLC8A1	OPRD1
SLC8A1	IGSF3
SLC8A1	NMNAT2
SLC8A1	VWC2L
SLC8A1	ROBO2
SLC8A1	ADCY2
SLC8A1	RAB3C
SLC8A1	GPLD1
SLC8A1	KIAA0319
SLC8A1	TRERF1
SLC8A1	GALNT17
SLC8A1	SLC26A4
SLC8A1	FAT3
SLC8A1	FARP1
SLC8A1	KCNH5
SLC8A1	RBFOX3
SLC8A1	TSHZ2
SLC8A1	TPST2
SLC8A1	AJ009632.2
C1GALT1C1L	AC012640.2
C1GALT1C1L	AL133551.1
C1GALT1C1L	ZNF295-AS1
PRKCE	IL12A
EPAS1	GRIN2C
RHOQ	JUN
RHOQ	WDR3
RHOQ	RNASEL
RHOQ	AC079305.3
RHOQ	SGO2
RHOQ	BARD1
RHOQ	ELOVL5
RHOQ	TTC26
RHOQ	ZNF425
RHOQ	ZNF212
RHOQ	ADAM9
RHOQ	CORO1C
RHOQ	DNAL1
RHOQ	GID4
AC018682.1	ZKSCAN8
AC018682.1	ERI1
AC018682.1	CPHXL
AC018682.1	TAC4
AC018682.1	SNAP25-AS1
AC018682.1	ZC3H4
AC018682.1	SHANK1
AC018682.1	ZNF175
CRIPT	AL080250.1
LINC01119	AC003035.1
AC016722.2	SMIM18
TTC7A	PKIG
CALM2	TARDBP
CALM2	BRD9
CALM2	PTGDS
CALM2	CHURC1
AC106869.1	ARHGEF33
AC106869.1	HEMK1
AC106869.1	DNAH12
AC106869.1	SLC2A9
AC106869.1	ZDHHC11
AC106869.1	CXorf36
AC106869.1	ITGB1-DT
AC106869.1	AC007326.4
EPCAM	CD58
MSH2	KBTBD8
MSH2	PHLDA1
KCNK12	SLC41A3
AC092650.1	PGBD2
AC092650.1	GPR17
AC093635.1	AL139274.2
NRXN1	KCNN2
NRXN1	GPR158
AC093110.1	TMEM88B
AC093110.1	AC103831.1
AC093110.1	AL118558.3
AC093110.1	AC018557.1
AC093110.1	AC093330.1
AC093110.1	SYS1-DBNDD2
RPS27A	RPL32
RPS27A	MECOM
RPS27A	RPS23
RPS27A	CNPY3
RPS27A	RPS12
RPS27A	APOO
RPS27A	RPL7
RPS27A	RPS13
RPS27A	RPL41
RPS27A	NGDN
RPS27A	FLYWCH2
RPS27A	RPL19
RPS27A	RPS15
CFAP36	IFI27L1
CFAP36	OGFOD3
VRK2	TSGA10
FANCL	CEP44
FANCL	TMEM161B
FANCL	AC073342.2
FANCL	AC009831.1
FANCL	C21orf91
LINC01122	AP002986.1
LINC01185	AC098582.1
LINC01185	EPHB4
LINC01185	AP001107.4
LINC01185	AC025262.1
XPO1	PLOD1
XPO1	AL031289.1
XPO1	MIR29B2CHG
XPO1	TTC30A
XPO1	RRAGD
XPO1	STS
XPO1	PLEKHF2
XPO1	BDNF-AS
XPO1	CYP17A1-AS1
XPO1	PDS5B
XPO1	PARD6G-AS1
XPO1	ZNF788P
FAM161A	WASHC2A
CCT4	FAM76A
AC093159.1	FAP
AC093159.1	HTR3B
AC093159.1	ITGBL1
AC093159.1	AP001025.1
AC093159.1	LINC01310
MDH1	PINK1
MDH1	NDUFA5
MDH1	TUBB4B
MDH1	SCG5
MDH1	YWHAH
PELI1	ZNF250
AC012368.1	PFKFB1
AC012368.1	SERPINF2
LINC00309	AC010654.1
SPRED2	ERRFI1
SPRED2	TMEM164
SPRED2	ZDHHC2
SPRED2	IGF1R
AC007389.3	AC018648.1
MEIS1	KCTD8
LINC01828	AL121987.1
LINC01829	PLCD3
LINC01829	PRX
AC017083.1	ZNF514
APLF	COTL1
PCBP1	HIST2H2BE
PCBP1	UBE2Q1
PCBP1	SET
PCBP1	TPP1
ADD2	DRP2
ADD2	SLC8A2
DYSF	PTPN18
DYSF	CSTF3-DT
SPR	ZBTB33
SPR	ABCA10
PRADC1	RNF25
ALMS1	NPHP4
ALMS1	PPM1L
ALMS1	MYOM2
ALMS1	AC005899.7
ALMS1	LINC00649
TPRKB	AC112484.1
TET3	VLDLR-AS1
AC006030.1	C1orf162
AC006030.1	AC096887.1
AC006030.1	SRSF3
AC006030.1	PIWIL2
AC006030.1	NOXRED1
AC006030.1	LINS1
AC006030.1	ZFP3
AC006030.1	AC005899.1
DCTN1	HMBS
DCTN1	AXIN2
DCTN1	ZNF699
MOGS	AC002066.1
LBX2-AS1	DNASE2B
LBX2-AS1	PLAC8
LBX2-AS1	TMEM255B
LBX2-AS1	AC090907.1
LBX2-AS1	KLK14
AUP1	AC117465.1
AUP1	MRFAP1L1
AUP1	AAAS
AUP1	DTX3
AUP1	SDR39U1
AUP1	ATP2A1-AS1
AUP1	PPP4C
AUP1	ACADVL
AUP1	SLC25A39
HTRA2	MAGIX
M1AP	C17orf99
AC104135.1	LINC01291
AC007099.1	NPIPB4
LRRTM4	RSPO2
CTNNA2	AC016716.2
CTNNA2	GABRB1
CTNNA2	ARHGAP24
AC016716.2	AC008067.1
AC016716.2	ARHGEF3-AS1
AC016716.2	ITM2A
AC016716.2	SMYD4
LRRTM1	TRIM17
LRRTM1	CD151
LRRTM1	SHD
AC008067.1	CMBL
TMSB10	RND1
TMSB10	COX7A1
TMSB10	CHCHD10
TMSB10	LGALS1
SH2D6	HEBP2
SH2D6	ITFG2-AS1
SH2D6	AC005329.1
SH2D6	AC010636.2
GGCX	CTBP1-AS
GGCX	AP002518.2
GGCX	LENG9
USP39	SHISAL2A
USP39	SNTG2
USP39	LINC00486
USP39	RMDN2-AS1
USP39	RPL31
USP39	RALB
USP39	AC105402.3
USP39	XIRP2
USP39	CDK15
USP39	LINC00971
USP39	TM4SF1-AS1
USP39	AC092920.1
USP39	BOD1L1
USP39	AC097478.1
USP39	AC018680.1
USP39	AC026726.1
USP39	CDHR2
USP39	PGM3
USP39	SPDYE16
USP39	AC005009.2
USP39	AC078845.1
USP39	DGKK
USP39	PEBP4
USP39	AC062004.1
USP39	AL353693.1
USP39	TRIM5
USP39	AC010997.3
USP39	TCERG1L
USP39	A2ML1
USP39	AC025265.2
USP39	KMT5A
USP39	PLUT
USP39	AL161757.4
USP39	CHRNB4
USP39	MYH13
USP39	SMCR5
USP39	AC243571.2
USP39	B4GALNT2
USP39	TSPAN10
USP39	LINC01900
USP39	PTPN1
USP39	AC011509.2
USP39	TMPRSS15
AC015971.1	JAKMIP2-AS1
CYTOR	FP475955.1
SMYD1	LINC01235
SMYD1	SALL4
AC062029.1	AC024361.2
AC092835.1	ZNF808
KCNIP3	WLS
KCNIP3	AP4B1
KCNIP3	ITGA6
KCNIP3	P3H2
KCNIP3	AL080317.2
KCNIP3	AP003049.2
STARD7	FUT11
KANSL3	NBPF3
KANSL3	CSRNP2
SEMA4C	TMEM259
FAM178B	GRM7-AS1
FAM178B	SLC4A9
FAM178B	ASRGL1
FAM178B	PMFBP1
FAM178B	DNAH17
AC092683.1	AC092683.2
AC092683.1	AL157832.3
AC092683.1	AP001062.1
COX5B	S100A13
COX5B	LSM3
COX5B	NDUFAF3
COX5B	AC068631.2
COX5B	PPIA
COX5B	SLC25A6
COX5B	COX7B
COX5B	NDUFB10
COX5B	NDUFAB1
COX5B	PSMB3
COX5B	ATP5PD
COX5B	CYTH1
TMEM131	ALMS1
TMEM131	AC018809.2
TMEM131	NEK10
TMEM131	NAF1
TMEM131	MEGF10
TMEM131	POLA1
TMEM131	UPRT
TMEM131	TIGD5
TMEM131	AL158152.2
TMEM131	FAM76B
TMEM131	USP12
TMEM131	CDK5RAP3
TMEM131	AC005332.7
TMEM131	TMEM145
TMEM131	MORC2
TMEM131	USP25
TMEM131	LINC01692
TSGA10	AC097460.1
TSGA10	AL356481.1
TSGA10	CHODL
MITD1	TAF12
MITD1	TMEM69
MITD1	IL17RB
MITD1	LARP7
MITD1	ALG2
LYG1	LINC01772
AFF3	RANBP17
AFF3	MTHFD1L
AFF3	DNAH10
AFF3	RBFOX1
AFF3	GSE1
AFF3	SETBP1
AFF3	MACROD2
AFF3	PALM
LONRF2	LIN9
LONRF2	GRIA2
LONRF2	SNAP91
TBC1D8	ANKRD6
CREG2	MCM3AP-AS1
LINC01965	PDGFRA
LINC01102	LINC01877
LINC01102	NME9
LINC01102	NIPAL4
LINC01103	AC109492.1
LINC01103	SLC28A2
C2orf49	ZBTB39
LIMS1	MALINC1
LIMS1	KLHL13
EDAR	ABCA12
EDAR	AC116337.3
EDAR	FBN3
SMIM37	MKKS
ACOXL	LINC00623
AC017002.5	AC068481.1
ZC3H6	MATN1-AS1
ZC3H6	PARS2
ZC3H6	TPRKB
ZC3H6	SRA1
ZC3H6	CCDC15
ZC3H6	DCPS
ZC3H6	LINC02588
ZC3H6	AF165147.1
TTL	SPPL2B
AC012442.1	AC127537.1
DPP10	DPP10-AS1
DDX18	LINC01562
DDX18	ZNF304
AC093901.1	LINC01740
AC093901.1	LINC01415
C1QL2	PLCB2
C1QL2	KCNG1
DBI	ICMT
DBI	PHGDH
DBI	S100A6
DBI	CKS1B
DBI	DEGS1
DBI	MMADHC
DBI	ZNF852
DBI	MYOT
DBI	NFKBIE
DBI	MID1IP1
DBI	CTSL
DBI	NINJ1
DBI	CCDC180
DBI	SET
DBI	KBTBD7
DBI	SALL2
DBI	SDR39U1
DBI	NME4
DBI	HEXIM1
DBI	ANKRD24
DBI	C19orf81
TMEM177	B3GNT10
CLASP1	B3GALT6
CLASP1	AGMAT
CLASP1	ERI3
CLASP1	TOE1
CLASP1	INTS3
CLASP1	XPR1
CLASP1	MFSD2B
CLASP1	TTC27
CLASP1	NCBP2
CLASP1	ATP8A1
CLASP1	C5orf22
CLASP1	CAST
CLASP1	APOM
CLASP1	AL359633.2
CLASP1	ADGRB3
CLASP1	RARS2
CLASP1	LINC00222
CLASP1	FUCA2
CLASP1	ANKMY2
CLASP1	GPR34
CLASP1	Z68871.1
CLASP1	ZNF704
CLASP1	TBC1D31
CLASP1	PRPF4
CLASP1	BIN2
CLASP1	NOC4L
CLASP1	AL138966.2
CLASP1	NEO1
CLASP1	CPEB1-AS1
CLASP1	KIF22
CLASP1	ZNF720
CLASP1	AC009139.2
CLASP1	ZNF594
CLASP1	PIK3R5
CLASP1	YPEL2
CLASP1	AC037487.1
CLASP1	TPX2
CLASP1	Z98752.4
CLASP1	MYT1
CLASP1	RANBP3
CLASP1	AC010323.1
CLASP1	CRX
CLASP1	TMEM121B
CLASP1	TCF20
NIFK-AS1	PPOX
NIFK-AS1	EDA2R
CNTNAP5	PTPN14
CNTNAP5	ANTXR1
CNTNAP5	IQCA1
CNTNAP5	CNTN6
CNTNAP5	ZNF385D
CNTNAP5	AC092422.1
CNTNAP5	PRKG2
CNTNAP5	AC008574.1
CNTNAP5	AC008415.1
CNTNAP5	WWC1
CNTNAP5	PLXNA4
CNTNAP5	PTCHD1-AS
CNTNAP5	PCDH11X
CNTNAP5	LYN
CNTNAP5	NKAIN3
CNTNAP5	LINC02055
CNTNAP5	NELL1
CNTNAP5	ITGA8
CNTNAP5	PTPRO
CNTNAP5	MGAT4C
CNTNAP5	CUX2
CNTNAP5	KSR2
CNTNAP5	GPC6
CNTNAP5	RYR3
CNTNAP5	AC013652.1
CNTNAP5	AC110023.1
LINC01889	AC093690.1
LINC01889	KIF15
CYP27C1	CAGE1
IWS1	LINC01725
IWS1	PRMT6
IWS1	B3GNT7
IWS1	PXK
IWS1	MAPK10
IWS1	LRP11
IWS1	EEPD1
IWS1	HSPA12A
IWS1	ALOX12-AS1
IWS1	KATNAL2
IWS1	ZNF160
IWS1	OLIG1
LIMS2	MELTF
SFT2D3	MOCS1
HS6ST1	ZNF623
ARHGEF4	HAGHL
AJ239322.2	LINC00992
AJ239322.2	AC136944.1
AJ239322.2	PRR11
LYPD1	PGBD4
AC016909.2	AL512330.1
AC016909.2	AC107021.1
AC016909.2	CYSTM1
AC016909.2	HEATR4
AC016909.2	AC108451.1
AC016909.2	AC015923.1
MGAT5	IWS1
MGAT5	PKP4
MGAT5	EEPD1
MGAT5	STN1
MGAT5	RCOR1
MGAT5	DUSP15
ACMSD	AC006116.8
MAP3K19	LINC01703
MAP3K19	GRM7-AS3
MAP3K19	CCDC36
MAP3K19	C3orf52
MAP3K19	SAP30
MAP3K19	RDH10-AS1
MAP3K19	AL445584.2
MAP3K19	MYO1H
MAP3K19	DIO2-AS1
MAP3K19	AC068722.1
MAP3K19	FAM169B
MAP3K19	AP005203.1
MAP3K19	LINC01899
MAP3K19	AC010422.2
CXCR4	RCC2
CXCR4	ARMH1
CXCR4	AL512328.1
CXCR4	GPD1L
CXCR4	CPB1
CXCR4	ETV5
CXCR4	HEPH
CXCR4	AC037486.1
CXCR4	SMILR
CXCR4	TEX9
THSD7B	LINC01435
ARHGAP15	RAB3D
AC016910.1	DNM3OS
AC016910.1	AC093495.1
EPC2	INTS7
EPC2	DESI2
EPC2	ZDHHC3
EPC2	CRYGS
EPC2	CEP135
EPC2	CEP120
EPC2	BRPF3
EPC2	ZYX
EPC2	SCML2
EPC2	VPS37A
EPC2	MTFR1
EPC2	KLF10
EPC2	AL592211.1
EPC2	YPEL4
EPC2	PRPF18
EPC2	ERCC6
EPC2	GPAM
EPC2	C12orf4
EPC2	ARMH4
EPC2	AC139149.1
EPC2	C18orf25
EPC2	POLI
EPC2	ID1
EPC2	HAS1
EPC2	AP001432.1
AC105402.3	MTRNR2L8
AC105402.3	PLCG2
KIF5C	MANEAL
KIF5C	KCNN3
KIF5C	NOS1AP
KIF5C	UCK2
KIF5C	MGAT5
KIF5C	IL17RC
KIF5C	MANBA
KIF5C	TBC1D12
KIF5C	PTPRE
KIF5C	TCP11L2
KIF5C	LINC00598
KIF5C	FAM124A
KIF5C	BRMS1L
KIF5C	CORO2B
KIF5C	DTNA
KIF5C	TSHZ1
KIF5C	AC007785.1
MMADHC	UTP15
AC007364.1	AC079148.1
AC007364.1	CYP7B1
AC007364.1	ZNF518A
AC007364.1	SAXO2
AC007364.1	ACSM1
AC007364.1	ZNF471
LINC01818	AC084149.1
LINC01818	AC079465.1
LINC01818	C1QTNF2
LINC01818	HNF4G
CACNB4	PPM1E
GALNT13	KCNH1
GALNT13	ATG4B
GALNT13	ADAMTS19
GALNT13	AUTS2
GALNT13	CERCAM
GALNT13	NOX4
GALNT13	ALDH2
GALNT13	APCDD1
KCNJ3	ANKRD42
KCNJ3	LRRK2
KCNJ3	FMN1
GPD2	LACTB2
ERMN	VAMP3
ERMN	USP1
ERMN	LRRC8D
ERMN	ARPC5
ERMN	NCL
ERMN	FBXO45
ERMN	SGCB
ERMN	HHIP-AS1
ERMN	SMIM15
ERMN	YIPF5
ERMN	FIGNL1
ERMN	PLP1
ERMN	GOLGA7
ERMN	CDC42EP2
ERMN	NCOA4
ERMN	SFR1
ACVR1	ENKD1
PKP4	CCDC148
DAPL1	TDRD9
TANC1	CSF1
TANC1	AC084032.1
TANC1	BACE2
AC008277.1	CCDC39
AC008277.1	AP002449.1
AC008277.1	AC007193.1
AC008277.1	AC092070.3
PLA2R1	MACC1
PLA2R1	PLAGL2
SLC4A10	SLC8A1
SLC4A10	SCN2A
SLC4A10	SCN1A
SLC4A10	UNC80
SLC4A10	CHL1
SLC4A10	KALRN
SLC4A10	GABRG2
SLC4A10	NRCAM
SLC4A10	CNKSR2
SLC4A10	ATP2B3
SLC4A10	NELL2
SCN2A	ADD2
SCN2A	REEP1
CSRNP3	NEDD4L
AC009495.1	GALNT3
SCN1A	TMEM67
NOSTRIN	LAMP3
NOSTRIN	LINC02268
LRP2	TRAIP
SSB	PSMD6-AS2
SSB	TTC1
SSB	RPP40
SSB	SH3BGRL2
SSB	AKIRIN2
MYO3B	AP005717.1
AC007405.3	AC007405.1
ERICH2	AC007405.3
GAD1	NR2F1-AS1
GAD1	SLC32A1
TLK1	THUMPD2
RAPGEF4	PDK1
SCRN3	EXOC3-AS1
SCRN3	SDHAF3
SCRN3	NUDT2
SCRN3	MIS12
SCRN3	CHRNA4
SCRN3	KCNJ14
GPR155	STAT1
AC010894.3	AC093635.1
AC010894.3	AC015982.1
AC010894.3	GK3P
AC010894.3	AC008267.5
AC010894.3	BPGM
AC010894.3	MMGT1
AC010894.3	ENY2
AC010894.3	AP002954.1
AC010894.3	LINC00858
AC010894.3	PCGF6
AC010894.3	MAGOHB
AC010894.3	BCL2L14
AC010894.3	MAP1LC3B2
AC010894.3	PCDH9-AS1
AC010894.3	CDR2
AC010894.3	HEATR9
AC010894.3	AC005921.2
AC010894.3	COIL
AC010894.3	CCDC47
AC010894.3	ZNF236-DT
AC010894.3	AC005597.1
AC010894.3	ZNF880
AC010894.3	LENG1
CHN1	FAM84A
CHN1	NCEH1
CHN1	DBN1
CHN1	CITED2
CHN1	PDP1
CHN1	GPR83
CHN1	TESPA1
CHN1	NUDT4
CHN1	ACTN1
CHN1	GABRA5
CHN1	PKM
CHN1	CAMKK1
CHN1	HAPLN4
CHN1	SEPT3
ATP5MC3	AL445685.1
ATP5MC3	PDHB
ATP5MC3	NDUFA4
RBM45	BCAS2
RBM45	NUDT7
PJVK	LINC01521
ZNF385B	EPB41L4B
ZNF385B	ANKRD30B
AC009478.1	AC008079.2
CERKL	ADTRP
CERKL	SIAH3
CERKL	KIF23
CERKL	GGT5
FRZB	KCNMB2-AS1
AC064871.1	AC009053.3
AC021851.1	AC078795.2
AC021851.1	AC103974.1
ITGAV	FAM171B
CALCRL	ZEB1-AS1
LINC01090	NBPF19
LINC01090	KCNK13
LINC01090	ATP8B4
ORMDL1	CNN2
HIBCH	AC126118.1
HIBCH	VARS
HIBCH	CUL7
HIBCH	UNC13D
HIBCH	LRRC45
STAT1	APOL6
AC098617.1	AL592430.1
AC098617.1	A2M
TMEFF2	PDE4B
TMEFF2	APLF
TMEFF2	AC007681.1
TMEFF2	LINC01608
TMEFF2	CABLES2
DNAH7	ABHD15
PGAP1	NLRX1
HSPD1	ADCY6
HSPD1	AC009065.4
HSPE1	HIST4H4
AC011997.1	TMEM234
AC011997.1	CEP152
PLCL1	TAS1R1
PLCL1	RBP7
PLCL1	FAM19A4
PLCL1	CRYBG3
PLCL1	YIPF7
PLCL1	ABCG2
PLCL1	PTCD2
PLCL1	ATXN1
PLCL1	BCKDHB
PLCL1	ZNF277
PLCL1	GLDC
PLCL1	AGPAT2
PLCL1	ZNF891
PLCL1	DPH6-DT
PLCL1	C15orf41
PLCL1	CERNA1
PLCL1	FAM214A
PLCL1	NRG4
PLCL1	GALNS
PLCL1	RALGAPA2
LINC01877	PDE4D
LINC01877	LPCAT2
FTCDNL1	LINC01266
FTCDNL1	KIAA0825
FTCDNL1	AP003392.4
FTCDNL1	AL136460.1
FTCDNL1	PCBP3
C2orf69	TMX1
MAIP1	AC019117.3
MAIP1	ZNF446
SPATS2L	CENPH
SPATS2L	TAF6L
SPATS2L	AC009318.3
CLK1	EVI2B
NDUFB3	AP000755.2
NDUFB3	CNBD2
CFLAR-AS1	SCGB1B2P
C2CD6	EHHADH
CDK15	CPN1
CDK15	BRCA2
CDK15	AL355838.1
KIAA2012	PGM2
KIAA2012	SMIM31
ICA1L	CDK11A
ICA1L	LRRC34
ICA1L	LMLN
ICA1L	DCLK2
ICA1L	MAP6
ICA1L	CASC2
RAPH1	AL033529.1
RAPH1	SLC35G2
RAPH1	AC097467.3
RAPH1	AL138828.1
RAPH1	AC073320.1
RAPH1	FAM160B2
RAPH1	BDNF
RAPH1	CACNB2
RAPH1	LRRC9
RAPH1	PPL
RAPH1	NRSN2-AS1
RAPH1	NPAS1
RAPH1	LCA5L
RAPH1	PCP4
PARD3B	NRP2
AC007679.1	DOCK9-AS1
INO80D	SLC27A6
INO80D	CSMD1
INO80D	LINC01609
EEF1B2	AL355472.1
AC008269.1	AC036214.3
PTH2R	PSMA1
MAP2	VPS13A
UNC80	MIR137HG
UNC80	TRMT9B
UNC80	MKL2
RPE	C1orf54
RPE	FANCL
RPE	CHRNA7
RPE	C16orf72
KANSL1L	CCDC30
KANSL1L	CBWD2
KANSL1L	NPHP3-ACAD11
KANSL1L	TMEM41A
KANSL1L	CREBRF
KANSL1L	AL355312.2
KANSL1L	GCNA
KANSL1L	SLC25A53
KANSL1L	SMIM10L2B
KANSL1L	NDUFAF6
KANSL1L	AC108002.1
KANSL1L	ACP2
KANSL1L	TKFC
KANSL1L	USP3-AS1
KANSL1L	E4F1
KANSL1L	MIB1
KANSL1L	ZNF701
KANSL1L	DRICH1
KANSL1L	LINC00159
LANCL1-AS1	ERAP1
LANCL1-AS1	AC093227.2
LANCL1	LONRF3
LANCL1	NCS1
LANCL1	CNTD2
IKZF2	SGK1
IKZF2	ITGB8
IKZF2	NDRG1
